from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
% Coal production (thousand short ton / h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAL,2TAL,2.95673516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAZ,4TAZ,0.399543379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAR,3TAR,0.399543379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCO,4TCO,4.628424658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPIL,3TIL,4.923401826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPIN,3TIN,5.126369863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPKS,3TKS,0.399543379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPKY,2TKY,17.30844749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPLA,1TLA,0.399543379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMD,2TMD,0.342237443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMS,1TMS,0.399543379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMO,3TMO,0.399543379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMT,4TMT,5.631506849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPNM,4TNM,3.396118721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPND,1TND,3.755707763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPOH,2TOH,4.519748858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPOK,3TOK,0.216780822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPPA,2TPA,8.610388128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTN,2TTN,0.549200913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTX,1TTX,4.6293379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPUT,4TUT,3.086986301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPVA,2TVA,3.313127854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPWV,2TWV,24.11312785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPWY,4TWY,57.20981735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Natural gas pipeline (MMcf / h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAB,NTMT,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAL,NTFL,154.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAL,NTGA,289.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAL,NTMS,695.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAL,NTTN,172.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAR,NTLA,329.2916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAR,NTMO,115.0416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
