from,to,const,,,
% Feedstock production and transportation (short ton/k-ton),,,,,
CP,7T,623.9,"% best practise, add more for worst practises - land use, fertilizers (yield), transportation, drying… - scenarios",,
CP,8T,350.9483636,"% best practise, add more for worst practises - forest clearing, transportation, drying… - scenarios",,
CP,9T,605.42,"% Add more for worst practises - transportation, drying… - scenarios",,
% Conversion (short ton/k-short-ton for generation before conversion - equivalent to short-ton/GWh after conversion),,,,,
7T,EC,0,% sequestered at production (by plant and soil),,
8T,EC,0,,,
% Biomass conversion facilities - credits - scenarios,,,,,
BR,BO,0,% credits,"short ton/MM Gallon - fuel used for operation, but credit in feedstock production (plant and soil C sequestration)",
EA,EL,0,% credits,"fuel used for operation, but credit in feedstock production",
EM,EL,0,,,
ES,EL,0,,,
BO,DD,1310.26,% credits (2358.5),,"short ton/MM Gallon - fuel used for operation, but credit in by-products"
BO,GD,1310.26,% credits (1393),,"short ton/MM Gallon - fuel used for operation, but credit in by-products"
